id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17210619,Rental unit in Newark · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,176890248,Jacqueline,,West,40.74573,-74.19733,Private room,1044,7,39,2023-09-08,0.50,1,363,4,
17242810,Rental unit in Newark · ★4.55 · 1 bedroom · 1 bed · 1 shared bath,359895306,Rentamc1,,West,40.74573,-74.19733,Private room,1045,7,49,2023-11-24,0.59,1,363,9,
17243137,Rental unit in Newark · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,24815236,Mario,,West,40.74573,-74.19733,Private room,46,7,39,2023-12-21,0.48,27,356,15,
17253812,Home in Newark · ★4.91 · 1 bedroom · 2 beds · 1 shared bath,116284956,Louis,,South,40.7025,-74.21026,Private room,85,1,242,2023-12-25,2.97,2,0,42,
17545586,Loft in Newark · ★4.74 · 1 bedroom · 3 beds · 1 bath,101410996,Walter & Ismalia,,South,40.71684,-74.19546,Entire home/apt,97,2,280,2023-12-25,3.40,1,0,34,
18775230,Rental unit in Newark · ★4.50 · 1 bedroom · 1 bed · 1 bath,24815236,Mario,,West,40.74573,-74.19733,Entire home/apt,1064,7,34,2023-09-07,0.42,27,347,6,
18775342,Rental unit in Newark · ★4.22 · 1 bedroom · 1 bed · 1 bath,24815236,Mario,,West,40.74573,-74.19733,Entire home/apt,1055,7,49,2023-07-14,0.61,27,338,1,
19139179,Rental unit in Newark · ★4.42 · 1 bedroom · 1 bed · 1 bath,24815236,Mario,,West,40.74573,-74.19733,Entire home/apt,781,7,53,2023-03-18,0.67,27,360,1,
19176294,Home in Newark · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,134110357,Rebeca,,East,40.72876,-74.16203,Private room,76,2,23,2023-12-17,0.29,1,177,9,
19206102,Guest suite in Newark · ★4.73 · Studio · 1 bed · 1 bath,6778177,Raymond,,Central,40.74511,-74.17366,Entire home/apt,86,3,103,2023-12-15,1.30,5,302,13,
19949333,Townhouse in Newark · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,16171933,Elizabeth,,Central,40.73197,-74.19529,Private room,99,1,30,2023-12-16,0.62,1,0,26,
20843605,Home in Newark · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,133717720,Alexandra,,South,40.71042,-74.19921,Private room,59,1,427,2023-12-09,5.60,3,340,87,
20942016,Townhouse in Newark · ★4.58 · 1 bedroom · 1 bed · 1 private bath,6778177,Raymond,,Central,40.74516,-74.17219,Private room,60,3,36,2023-12-11,0.48,5,321,12,
20942732,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,133717720,Alexandra,,South,40.70928,-74.19924,Private room,58,1,522,2023-12-04,6.83,3,344,48,
21325520,Rental unit in Newark · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,103685025,Edy,,East,40.72646,-74.15863,Private room,65,7,4,2018-05-18,0.05,1,87,0,
21392612,Home in Newark · ★4.77 · 1 bedroom · 2 beds · 1 bath,67441548,Jamel,,South,40.7178,-74.2188,Entire home/apt,106,1,361,2023-12-30,4.79,1,0,44,
21773293,Rental unit in Newark · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,158645834,Jose,,North,40.7830874894525,-74.16581643059776,Private room,80,1,4,2023-12-27,1.45,2,363,4,
21848984,Rental unit in Newark · ★4.58 · 3 bedrooms · 5 beds · 2 baths,148995953,Carolyn,,Central,40.727703,-74.17466,Entire home/apt,179,7,119,2023-12-21,1.62,3,360,4,
21855831,Rental unit in Newark · ★4.42 · Studio · 1 bed · 1 bath,106730932,Wendell,,Central,40.74976,-74.17288,Entire home/apt,85,4,24,2022-09-05,0.33,1,50,0,
21925500,Rental unit in Newark · ★3.57 · 3 bedrooms · 3 beds · 1 bath,24815236,Mario,,West,40.74573,-74.19733,Entire home/apt,1142,7,7,2018-12-28,0.09,27,359,0,
22001746,Rental unit in Newark · ★4.37 · 1 bedroom · 1 bed · 1 bath,70526911,Chateau,,Central,40.73167,-74.19407,Entire home/apt,90,1,351,2023-08-07,4.74,4,362,11,
22088588,Rental unit in Newark · ★4.94 · 3 bedrooms · 3 beds · 1 bath,161338168,Zenolia,,East,40.72516,-74.16578,Entire home/apt,78,1,34,2018-11-25,0.48,1,1,0,
22125346,Home in Newark · ★4.65 · 1 bedroom · 1 bed · 2 shared baths,120596934,Patrick,,South,40.70905,-74.20139,Private room,40,1,60,2023-12-10,0.82,4,363,14,
